scorer,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000,DLC_resnet50_entrenamiento_mderechaJun21shuffle1_20000
bodyparts,indice,indice,indice,corazon,corazon,corazon,anular,anular,anular,menique,menique,menique
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,767.1908569335938,-2.3214759826660156,9.637020411901176e-05,-6.040678977966309,-0.21718502044677734,0.0003122985363006592,0.8168296813964844,-5.672576904296875,4.13274101447314e-05,-6.119572639465332,2.8606488704681396,0.0002339184284210205
1,767.1177368164062,-2.327939987182617,9.794159996090457e-05,-5.941409111022949,-0.23743534088134766,0.00031250715255737305,0.8761718273162842,-5.785802841186523,4.032077413285151e-05,-6.169377326965332,2.836707592010498,0.00022339820861816406
2,767.2183837890625,-2.461099624633789,8.674994023749605e-05,-5.838222503662109,-0.31104278564453125,0.0003153085708618164,0.9223182201385498,-5.871638298034668,3.946713331970386e-05,-6.260562896728516,2.793015956878662,0.0002162456512451172
3,767.23828125,-2.3809804916381836,8.644165063742548e-05,-5.8372907638549805,-0.30208301544189453,0.0003223419189453125,0.8787212371826172,-5.842581748962402,4.098992212675512e-05,-6.140838623046875,2.878626823425293,0.000221937894821167
4,767.1927490234375,-2.483414649963379,8.500059630023316e-05,-5.875080108642578,-0.3524751663208008,0.0003237426280975342,0.7853906154632568,-5.869937896728516,4.1533341573085636e-05,-6.1930694580078125,2.925601005554199,0.00021976232528686523
5,767.1072387695312,-2.489858627319336,7.680584531044587e-05,-6.096016883850098,-0.19677400588989258,0.0003083944320678711,0.8713312149047852,-5.926363945007324,4.1434435843257234e-05,-6.227447509765625,2.947429895401001,0.00022667646408081055
6,766.8560791015625,-2.7550129890441895,6.909629883011803e-05,-6.096165657043457,-0.18363094329833984,0.0003050267696380615,0.9898660182952881,-5.948359489440918,3.9909249608172104e-05,-6.3767242431640625,2.750227928161621,0.00021919608116149902
7,767.0936279296875,-2.5908360481262207,7.241284765768796e-05,-6.33016300201416,-0.09532928466796875,0.0002823472023010254,0.7919063568115234,-6.0030927658081055,3.786175511777401e-05,-6.151156425476074,2.9435129165649414,0.00021564960479736328
8,767.1053466796875,-2.440986156463623,7.915064634289593e-05,-6.281584739685059,-0.1332111358642578,0.00028130412101745605,0.8454387187957764,-6.042210578918457,3.726932482095435e-05,-6.2218122482299805,2.911745071411133,0.00021719932556152344
9,767.0140380859375,-2.783432960510254,7.213775825221092e-05,-6.15839958190918,-0.2666802406311035,0.0002945363521575928,0.7864151000976562,-5.8788251876831055,3.9689715777058154e-05,-6.113603591918945,2.7488796710968018,0.00022104382514953613
10,767.1928100585938,-2.6197738647460938,6.567146920133382e-05,-5.959601402282715,-0.18338441848754883,0.0003089010715484619,0.8118264675140381,-5.924212455749512,4.2370207665953785e-05,-5.819011688232422,2.9216485023498535,0.0002294480800628662
11,766.9638671875,-2.8328237533569336,7.351945532718673e-05,-6.124419212341309,-0.1990375518798828,0.00029528141021728516,0.6492090225219727,-5.846804618835449,3.9649235986871645e-05,-5.93679141998291,2.892648935317993,0.00022602081298828125
12,767.202880859375,-2.604722023010254,6.189311534399167e-05,-5.989325523376465,-0.37117862701416016,0.00031307339668273926,0.845834493637085,-5.848581314086914,4.096553675481118e-05,-6.22194766998291,2.553680181503296,0.00022011995315551758
13,767.10791015625,-2.576333999633789,7.728697528364137e-05,-5.7207136154174805,-0.03999471664428711,0.00036334991455078125,0.9178783893585205,-5.6925764083862305,4.3953798012807965e-05,-6.156932830810547,2.6877379417419434,0.0002397000789642334
14,767.0587158203125,-2.7765355110168457,6.676400516880676e-05,-5.986969947814941,-0.044354915618896484,0.0003097951412200928,1.0976824760437012,-5.7724456787109375,4.254772647982463e-05,-6.030141830444336,3.273754596710205,0.00022274255752563477
15,766.9103393554688,-2.7135071754455566,6.123467028373852e-05,-6.225552558898926,-0.36170291900634766,0.0003000199794769287,0.7729785442352295,-6.1277570724487305,3.6760444345418364e-05,-6.50022029876709,2.5772151947021484,0.00020805001258850098
16,766.5730590820312,-2.8790369033813477,7.164918497437611e-05,-5.917078018188477,0.029404640197753906,0.0003599822521209717,0.811021089553833,-5.691595077514648,4.123882536077872e-05,-5.881513595581055,2.8145456314086914,0.00023171305656433105
17,766.922607421875,-2.52152156829834,6.118119927123189e-05,-5.501943588256836,-0.34482431411743164,0.00036785006523132324,0.9489150047302246,-6.106494903564453,3.634405948105268e-05,-6.151411056518555,2.567782163619995,0.00020515918731689453
18,766.800048828125,-2.6800003051757812,6.95830603945069e-05,-6.156472206115723,-0.1422257423400879,0.0003324747085571289,1.0707423686981201,-5.811941146850586,4.31875123467762e-05,-6.7561750411987305,2.815354347229004,0.0002142488956451416
19,766.5225830078125,-2.940967559814453,6.412064976757392e-05,-5.893009185791016,0.10469293594360352,0.0003737211227416992,0.715395450592041,-5.683328628540039,4.181412805337459e-05,-6.372196197509766,3.0201921463012695,0.00022971630096435547
20,766.6876831054688,-2.733065128326416,6.777219823561609e-05,-6.275979995727539,0.0009248256683349609,0.00032150745391845703,0.4791107177734375,-6.076667785644531,4.2307987314416096e-05,-6.990041732788086,3.4034006595611572,0.0002224445343017578
21,766.3970947265625,-2.8415908813476562,7.02805191394873e-05,-5.91951847076416,-0.16228818893432617,0.00039964914321899414,0.3654623031616211,-6.256319046020508,3.992546771769412e-05,-7.305161476135254,2.7318270206451416,0.00020885467529296875
22,766.582275390625,-2.736802577972412,7.181042019510642e-05,-6.393459320068359,0.01965785026550293,0.00037929415702819824,0.5488796234130859,-6.029074668884277,4.446033562999219e-05,-6.963813781738281,3.1290321350097656,0.00021380186080932617
23,766.6821899414062,-2.54836368560791,6.95731068844907e-05,-6.0512237548828125,0.04144454002380371,0.00039118528366088867,0.45131373405456543,-6.1255035400390625,3.7401528970804065e-05,-7.461183547973633,2.782069683074951,0.00020453333854675293
24,766.5,-2.799074649810791,7.334773545153439e-05,-6.442176818847656,-0.07762622833251953,0.00038611888885498047,0.1234443187713623,-6.052746772766113,4.2186875361949205e-05,-7.15262508392334,2.9856019020080566,0.0002161264419555664
25,766.6776733398438,-2.6624464988708496,6.972860137466341e-05,-6.5260009765625,-0.5067439079284668,0.00033468008041381836,-0.016109466552734375,-6.415715217590332,3.7811310903634876e-05,-7.135348320007324,2.686316967010498,0.00020259618759155273
26,766.3506469726562,-2.8881683349609375,7.410222315229475e-05,-6.870940208435059,-0.3920726776123047,0.00026106834411621094,0.0026950836181640625,-6.317363739013672,3.370607373653911e-05,-7.14212703704834,2.935337543487549,0.00018030405044555664
27,766.6515502929688,-2.450995445251465,6.733212649123743e-05,-6.258950233459473,-0.517643928527832,0.0003052949905395508,0.19063353538513184,-6.371648788452148,3.560329059837386e-05,-6.899852752685547,2.8756332397460938,0.00020250678062438965
28,766.6217651367188,-2.5866522789001465,7.803999324096367e-05,-6.447406768798828,-0.519310474395752,0.0003013014793395996,0.5465371608734131,-5.960022926330566,4.283557063899934e-05,-6.218474388122559,2.879227876663208,0.00022917985916137695
29,350.9632873535156,-3.781017303466797,0.0009933114051818848,349.3402404785156,-4.106093406677246,0.0011551976203918457,351.51739501953125,-0.7247328758239746,6.482793105533347e-05,348.7773132324219,3.5773983001708984,0.00024434924125671387
30,398.9330749511719,75.94794464111328,0.9984692931175232,364.2616882324219,82.74296569824219,0.9537801146507263,338.0280456542969,72.29168701171875,0.9946229457855225,320.91937255859375,34.04890823364258,0.6510988473892212
31,401.7540588378906,109.9477310180664,0.9979301691055298,357.1345520019531,111.09832763671875,0.9886300563812256,334.6666564941406,98.27106475830078,0.9969111084938049,317.2601623535156,62.09709548950195,0.9956207275390625
32,403.983642578125,122.43421936035156,0.9986197352409363,359.3193054199219,122.65868377685547,0.9890111684799194,336.8096923828125,105.57032775878906,0.9943734407424927,318.3303527832031,70.4034652709961,0.9994746446609497
33,406.6301574707031,130.0635528564453,0.9994916319847107,362.7130126953125,131.46800231933594,0.9954850673675537,337.9474182128906,117.91895294189453,0.9987558722496033,318.9428405761719,79.13485717773438,0.9990766048431396
34,408.3106384277344,135.93637084960938,0.9970146417617798,364.9062805175781,138.20291137695312,0.9906642436981201,339.8572082519531,122.06987762451172,0.9977529048919678,319.98394775390625,82.46171569824219,0.9997538328170776
35,418.54583740234375,149.5030517578125,0.9992457032203674,373.0270080566406,153.12716674804688,0.9917538166046143,346.1148376464844,136.54469299316406,0.9969550967216492,321.6100769042969,96.64876556396484,0.999887228012085
36,422.4869689941406,156.4160919189453,0.9992551207542419,377.7263488769531,158.57876586914062,0.9914079308509827,347.3298034667969,142.51890563964844,0.9908124208450317,322.0172119140625,101.39044189453125,0.9999377131462097
37,421.6346130371094,157.22682189941406,0.9996739625930786,377.2351989746094,159.28067016601562,0.9938439130783081,347.3312683105469,143.13258361816406,0.9906113147735596,321.8455810546875,102.36331176757812,0.9999328851699829
38,421.3766174316406,159.4665985107422,0.9998215436935425,376.59320068359375,159.4100799560547,0.9929981231689453,346.6546325683594,145.37503051757812,0.9947361946105957,321.9392395019531,103.80126190185547,0.9999037981033325
39,421.4956359863281,160.5236053466797,0.9998652935028076,376.9931335449219,160.0272216796875,0.9945774078369141,346.4990234375,145.02322387695312,0.9933969378471375,322.21807861328125,105.28060150146484,0.9998654723167419
40,424.62957763671875,161.38442993164062,0.999255359172821,381.2939147949219,161.67742919921875,0.9973100423812866,351.0233459472656,148.75515747070312,0.997721791267395,322.05621337890625,110.8039321899414,0.9993423223495483
41,427.8332824707031,162.9553680419922,0.9996862411499023,384.45745849609375,163.4198455810547,0.9990603923797607,354.37628173828125,150.5448455810547,0.9997283220291138,323.0777282714844,111.68538665771484,0.9998160600662231
42,427.6495361328125,163.52581787109375,0.9997302293777466,384.50567626953125,163.75927734375,0.9992452263832092,355.1101379394531,151.17681884765625,0.9998003244400024,323.3219909667969,112.5960464477539,0.9998685121536255
43,427.7082824707031,163.63499450683594,0.9997181296348572,384.4732360839844,164.01426696777344,0.9990715980529785,355.4210205078125,151.2423553466797,0.9997844099998474,323.5127258300781,113.15335083007812,0.9998773336410522
44,425.1331787109375,161.85836791992188,0.9994701147079468,384.0758361816406,164.05972290039062,0.9990377426147461,355.0879821777344,150.78089904785156,0.9997646808624268,322.6395263671875,112.79623413085938,0.9998641610145569
45,411.7106628417969,154.96981811523438,0.9970853328704834,370.527099609375,158.87351989746094,0.9971885681152344,347.1063537597656,147.4166717529297,0.998079776763916,318.151123046875,110.56953430175781,0.9982354044914246
46,399.6298522949219,160.67633056640625,0.9994337558746338,363.93243408203125,161.62814331054688,0.9925558567047119,335.4862976074219,150.99343872070312,0.995136022567749,306.6971435546875,112.03567504882812,0.9989968538284302
47,391.02349853515625,167.09689331054688,0.9926283359527588,355.2228698730469,166.79295349121094,0.9691694974899292,333.0893249511719,153.01597595214844,0.9350486993789673,302.4427185058594,116.62095642089844,0.9987479448318481
48,384.4584655761719,175.4783477783203,0.9939017295837402,351.3399353027344,173.07078552246094,0.8613282442092896,321.11236572265625,163.55935668945312,0.9921367168426514,296.8473815917969,123.86256408691406,0.990692138671875
49,378.072021484375,185.5989532470703,0.9915226697921753,342.95867919921875,183.75836181640625,0.8673334121704102,320.74371337890625,169.12649536132812,0.9619088172912598,290.6817626953125,132.9817657470703,0.9993304014205933
50,362.6643981933594,220.6654815673828,0.9948117733001709,332.6578063964844,213.907958984375,0.8928661346435547,304.30419921875,201.26406860351562,0.9872962236404419,281.7461242675781,161.80618286132812,0.9985930919647217
51,359.9479675292969,232.20962524414062,0.9914645552635193,331.4227600097656,224.9109649658203,0.7542629241943359,302.82305908203125,213.39346313476562,0.9731864929199219,280.146484375,172.6856231689453,0.9976701140403748
52,359.6116027832031,244.182861328125,0.9993010759353638,325.7674865722656,235.95462036132812,0.7582046389579773,304.42108154296875,220.86480712890625,0.976380467414856,278.56573486328125,180.93063354492188,0.9992616772651672
53,358.1058349609375,254.37417602539062,0.9986611008644104,323.6928405761719,244.3932647705078,0.9296500086784363,305.0616760253906,229.4020233154297,0.9797683358192444,278.6260986328125,190.70777893066406,0.9976528882980347
54,359.4064636230469,263.4751892089844,0.9980686902999878,324.7352294921875,253.99533081054688,0.7973512411117554,302.5105895996094,238.1396026611328,0.9828553199768066,278.1695556640625,197.57965087890625,0.9992780089378357
55,361.2655944824219,288.3091735839844,0.9986247420310974,322.90960693359375,276.9975891113281,0.9398683309555054,304.03717041015625,260.7728576660156,0.9789720177650452,277.3137512207031,220.23086547851562,0.9986065626144409
56,359.9523010253906,303.0390319824219,0.9966177344322205,322.5158386230469,291.5267028808594,0.8689249753952026,302.2879638671875,276.0992736816406,0.9806830883026123,275.1202392578125,233.34078979492188,0.9996282458305359
57,362.4139404296875,314.2066345214844,0.9930625557899475,323.1785583496094,304.17510986328125,0.7355214953422546,301.9802551269531,287.6950988769531,0.9702340364456177,275.3091125488281,246.20166015625,0.999798059463501
58,364.71759033203125,321.6122741699219,0.9985045194625854,324.3353271484375,310.8256530761719,0.8657472133636475,303.1275634765625,295.4514465332031,0.9821497201919556,275.7232666015625,253.27871704101562,0.9993674755096436
59,368.8196716308594,326.572509765625,0.9962515830993652,329.5824279785156,316.74102783203125,0.7912859916687012,303.557373046875,300.0479431152344,0.9449928998947144,276.50787353515625,256.781494140625,0.9994866847991943
