scorer,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000,DLC_resnet50_21jul-mderJul21shuffle1_10000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,422.139404296875,221.74127197265625,0.976608395576477,397.3089904785156,243.97073364257812,0.9339938759803772,363.2587890625,247.69456481933594,0.9190090894699097,314.16180419921875,225.79393005371094,0.9807196855545044
1,423.1492919921875,221.37269592285156,0.977462887763977,397.5237731933594,243.9739532470703,0.935686469078064,363.445556640625,247.69857788085938,0.9124503135681152,314.08770751953125,225.50784301757812,0.9771804809570312
2,422.9480895996094,221.3248291015625,0.9791648387908936,397.7544250488281,243.6994171142578,0.9344455003738403,363.5898742675781,247.62713623046875,0.9069267511367798,314.205322265625,225.59072875976562,0.9744430184364319
3,422.8307800292969,221.378173828125,0.9806002378463745,397.8359069824219,243.75904846191406,0.9348011016845703,363.5722351074219,247.76657104492188,0.9090455770492554,314.0948486328125,225.71060180664062,0.9767237901687622
4,423.0549011230469,221.54684448242188,0.9802688360214233,397.6633605957031,243.64649963378906,0.9333497285842896,363.46795654296875,247.75662231445312,0.9090734720230103,314.1356201171875,225.8368377685547,0.9762946963310242
5,423.0423583984375,221.45086669921875,0.979308545589447,397.9318542480469,243.66627502441406,0.9320942163467407,363.42193603515625,247.53323364257812,0.912555456161499,314.046875,225.29342651367188,0.9786849021911621
6,422.89801025390625,221.64495849609375,0.9826360940933228,395.4180603027344,244.56629943847656,0.9340354204177856,363.013427734375,246.14199829101562,0.8918534517288208,312.3453063964844,223.2808074951172,0.9376195669174194
7,422.7442321777344,221.50137329101562,0.9794379472732544,398.29559326171875,242.4419403076172,0.94991135597229,367.36676025390625,244.18467712402344,0.9080601930618286,313.12841796875,219.32485961914062,0.927280604839325
8,427.4774169921875,218.03651428222656,0.967181921005249,411.14447021484375,234.4829559326172,0.938075840473175,378.33935546875,236.69134521484375,0.8745333552360535,320.3233642578125,214.00587463378906,0.9909377098083496
9,433.5335693359375,211.15396118164062,0.9945133924484253,410.9673767089844,231.30235290527344,0.9582847356796265,381.3232116699219,233.87648010253906,0.9097844362258911,322.8187255859375,211.07135009765625,0.9911483526229858
10,446.2689208984375,197.52713012695312,0.9791445136070251,429.66748046875,210.31976318359375,0.9346989393234253,393.79351806640625,212.84864807128906,0.9104583263397217,335.74444580078125,199.6884765625,0.9739705920219421
11,446.28753662109375,197.38502502441406,0.9736319780349731,429.61041259765625,210.4294891357422,0.9399539232254028,395.1830749511719,210.57394409179688,0.9453561305999756,337.132080078125,196.47413635253906,0.9782854318618774
12,444.8642578125,198.4618682861328,0.958202064037323,430.2892150878906,210.4036407470703,0.9386374354362488,399.6466064453125,207.8166961669922,0.9285215139389038,340.3581237792969,193.46607971191406,0.9719201326370239
13,444.2145690917969,199.0211639404297,0.9481645822525024,428.8798522949219,211.6659393310547,0.9255096912384033,399.2691345214844,207.8433837890625,0.9303708076477051,340.27679443359375,193.31973266601562,0.9674661159515381
14,444.19793701171875,201.31619262695312,0.9258812665939331,430.3807373046875,210.7905731201172,0.9176786541938782,400.67169189453125,209.117919921875,0.9053223729133606,341.14678955078125,191.95855712890625,0.9464400410652161
15,442.818603515625,202.1674346923828,0.9253783226013184,428.17120361328125,212.49761962890625,0.9447470903396606,400.23846435546875,209.177734375,0.9054667353630066,341.2027587890625,191.9669189453125,0.9514901638031006
16,442.2509765625,202.65391540527344,0.9285308122634888,427.6492614746094,212.9801025390625,0.9476613998413086,399.06549072265625,207.1298828125,0.907172679901123,341.0947570800781,191.952880859375,0.9502741098403931
17,442.3798828125,201.825439453125,0.9264199733734131,428.7812194824219,212.39857482910156,0.93409264087677,401.1828918457031,209.07496643066406,0.902863621711731,340.78863525390625,191.96151733398438,0.9445526003837585
18,444.1741638183594,200.93624877929688,0.9411640167236328,430.0972900390625,210.75424194335938,0.923067569732666,402.16192626953125,208.85792541503906,0.9064527153968811,338.3368835449219,191.875,0.9397809505462646
19,445.9526672363281,197.0704345703125,0.9686713218688965,429.2158203125,211.8427734375,0.939391016960144,395.1792297363281,212.04617309570312,0.9130824208259583,311.1669921875,201.14674377441406,0.9763001203536987
20,446.4921875,195.6093292236328,0.9871740341186523,426.4129638671875,214.86569213867188,0.8778462409973145,387.9415588378906,223.54324340820312,0.9052382707595825,299.9385681152344,207.9044189453125,0.9185310006141663
21,446.8601989746094,195.23416137695312,0.9886488914489746,426.0152587890625,215.38900756835938,0.8606169819831848,386.2849426269531,226.11135864257812,0.9423667788505554,300.5111083984375,208.9028778076172,0.9292115569114685
22,447.03497314453125,195.1551971435547,0.9897854328155518,424.9216613769531,216.01351928710938,0.8600138425827026,384.2435607910156,228.79368591308594,0.9239555597305298,300.73687744140625,210.5926971435547,0.9406936168670654
23,447.1097717285156,194.84078979492188,0.9903859496116638,425.5029296875,215.56211853027344,0.8719764351844788,383.5492248535156,229.5300750732422,0.9080436825752258,301.2084045410156,211.1935577392578,0.9596853256225586
24,447.1571044921875,194.43455505371094,0.9918149709701538,424.9343566894531,215.7068328857422,0.8576054573059082,382.0602722167969,230.5503387451172,0.8728213310241699,300.9678649902344,211.74913024902344,0.9678630232810974
25,447.0803527832031,193.9239959716797,0.9902807474136353,426.79315185546875,214.38552856445312,0.8571565747261047,356.3843688964844,242.239501953125,0.7647235989570618,302.0050964355469,213.3385009765625,0.9888365864753723
26,447.7430725097656,193.92030334472656,0.9898824691772461,426.30194091796875,214.56629943847656,0.8401576280593872,345.83251953125,243.9049530029297,0.858066976070404,302.4602966308594,212.95184326171875,0.9864535927772522
27,447.8437805175781,193.45693969726562,0.9896102547645569,426.27978515625,214.59060668945312,0.8427022099494934,346.13714599609375,242.8111114501953,0.8588842153549194,302.3546142578125,212.5965576171875,0.985895037651062
28,447.97845458984375,193.88653564453125,0.9899716377258301,425.7811584472656,215.42588806152344,0.8549392223358154,346.2632751464844,242.79820251464844,0.8690766096115112,302.30938720703125,212.5517120361328,0.9856857061386108
29,448.17669677734375,193.3952178955078,0.988826334476471,426.85516357421875,215.2533721923828,0.8502200841903687,346.6056823730469,243.1508026123047,0.8796334266662598,302.4767150878906,212.58502197265625,0.9873991012573242
30,448.65234375,192.6381072998047,0.9885485172271729,425.329345703125,220.27005004882812,0.6773853302001953,347.0932922363281,243.31329345703125,0.8896536231040955,302.5628356933594,213.2970733642578,0.9854357242584229
31,448.7205505371094,193.28298950195312,0.98946613073349,411.638916015625,227.2795867919922,0.5365859270095825,347.4806213378906,243.4191131591797,0.9224677085876465,302.2016906738281,213.24070739746094,0.9867343306541443
32,449.7129211425781,194.39178466796875,0.9863123893737793,393.7207336425781,237.3104248046875,0.6031303405761719,347.39813232421875,244.38247680664062,0.9607130885124207,302.1917724609375,213.5077362060547,0.9894999861717224
33,449.2251892089844,194.40896606445312,0.9865208864212036,393.3861999511719,237.62380981445312,0.6130361557006836,347.392333984375,244.59979248046875,0.9650824069976807,302.2110290527344,213.52383422851562,0.9891096353530884
34,449.9313049316406,193.82028198242188,0.9866165518760681,392.0361022949219,238.63319396972656,0.6458926200866699,347.0776672363281,244.5272674560547,0.9661281108856201,302.6021423339844,213.8258056640625,0.989648699760437
35,448.9210205078125,194.36256408691406,0.9896920919418335,391.57952880859375,238.5438690185547,0.6644989252090454,346.732666015625,244.88870239257812,0.9693071842193604,302.7698669433594,213.99928283691406,0.9903692007064819
36,447.5711975097656,196.46620178222656,0.9836201667785645,392.06243896484375,238.0006866455078,0.6811118125915527,346.9298095703125,244.7961883544922,0.967265248298645,302.8179016113281,214.19989013671875,0.9906624555587769
37,424.7791442871094,212.49801635742188,0.9744640588760376,397.0358581542969,237.45953369140625,0.8423163890838623,348.16070556640625,245.38223266601562,0.9551712274551392,301.9169616699219,215.29542541503906,0.9910749197006226
38,424.9677429199219,213.41690063476562,0.9720684289932251,397.2323303222656,237.77764892578125,0.8183459043502808,347.9909362792969,245.55950927734375,0.9574326276779175,301.7425842285156,215.6393280029297,0.9915561676025391
39,425.0650939941406,212.28524780273438,0.9717729091644287,398.1651306152344,237.8323211669922,0.8088634014129639,348.1785583496094,246.37353515625,0.9518982172012329,302.25634765625,215.71437072753906,0.9915162920951843
40,424.8580322265625,214.20887756347656,0.9687165021896362,395.5843200683594,239.99929809570312,0.837786078453064,347.9864807128906,247.0863037109375,0.9487731456756592,302.2196350097656,216.18861389160156,0.9923906326293945
41,425.0006408691406,214.8378448486328,0.967689037322998,395.8782653808594,240.06663513183594,0.844235897064209,348.1645202636719,246.59213256835938,0.9510183334350586,302.1434631347656,216.2050018310547,0.9912850260734558
