scorer,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000
bodyparts,indice,indice,indice
coords,x,y,likelihood
0,216.66775512695312,241.72463989257812,0.9949735403060913
1,215.53335571289062,241.54393005371094,0.9959786534309387
2,215.38880920410156,241.40382385253906,0.9959784746170044
3,213.98251342773438,240.26329040527344,0.9929888248443604
4,211.44459533691406,237.42201232910156,0.9881676435470581
5,209.8384552001953,238.04063415527344,0.9792059659957886
6,208.43211364746094,237.52813720703125,0.9721816778182983
7,204.02415466308594,237.24143981933594,0.966210663318634
8,207.68435668945312,237.57798767089844,0.9709769487380981
9,208.0998077392578,237.97616577148438,0.972203254699707
10,209.65589904785156,239.48956298828125,0.9838607311248779
11,208.9607696533203,239.4746551513672,0.9789631962776184
12,209.33737182617188,239.87692260742188,0.9891273975372314
13,225.4914093017578,253.36627197265625,0.9922320246696472
14,235.99658203125,255.02438354492188,0.9910604953765869
15,236.3617706298828,255.38424682617188,0.9908690452575684
16,226.48878479003906,254.09542846679688,0.9953681230545044
17,213.48448181152344,245.8134307861328,0.9966741800308228
18,200.0971221923828,233.58160400390625,0.9853661060333252
19,197.8413848876953,229.30833435058594,0.9957615733146667
20,196.7599334716797,226.85292053222656,0.9955421686172485
21,196.33311462402344,226.7810516357422,0.9947541952133179
22,197.34666442871094,227.7222900390625,0.9969720840454102
23,229.16299438476562,253.7246856689453,0.9958099126815796
24,235.96836853027344,254.81417846679688,0.9936383962631226
25,235.9497833251953,254.77523803710938,0.9928069114685059
26,214.5640869140625,246.28639221191406,0.9970053434371948
27,203.67434692382812,234.1632843017578,0.9794166684150696
28,200.72579956054688,231.8440704345703,0.9849991798400879
29,199.01937866210938,228.73321533203125,0.9950186610221863
30,200.23211669921875,228.786865234375,0.9926184415817261
31,224.73745727539062,251.05380249023438,0.9908467531204224
32,236.54766845703125,255.1275634765625,0.9914969801902771
33,236.2317352294922,255.15322875976562,0.9924429059028625
34,236.46340942382812,255.2068634033203,0.9926923513412476
35,214.8585662841797,245.32208251953125,0.9963210821151733
36,199.93328857421875,231.2467041015625,0.9895419478416443
37,197.06671142578125,228.02101135253906,0.9969757199287415
38,196.3486328125,227.12823486328125,0.9956001043319702
39,197.56777954101562,227.9796905517578,0.9968210458755493
40,218.90164184570312,245.76544189453125,0.9916813373565674
41,237.3770294189453,255.2434539794922,0.9933454990386963
42,238.7730712890625,255.26791381835938,0.993100643157959
43,238.78257751464844,255.36488342285156,0.993040919303894
44,238.8003692626953,255.3626251220703,0.9941315650939941
45,219.86444091796875,248.72496032714844,0.991142988204956
46,203.3229217529297,232.90623474121094,0.9834593534469604
47,196.52883911132812,227.4888916015625,0.9956299066543579
48,195.30679321289062,223.46578979492188,0.9789940118789673
49,194.17005920410156,220.18565368652344,0.9780231714248657
50,226.108642578125,249.36338806152344,0.9917374849319458
51,236.0330810546875,255.62286376953125,0.9938088655471802
52,235.9210662841797,255.84823608398438,0.9937584400177002
53,235.8529510498047,255.81407165527344,0.9944695234298706
54,236.77615356445312,255.82244873046875,0.9939804673194885
55,214.8722686767578,245.42210388183594,0.997148871421814
56,201.50938415527344,232.4178924560547,0.9820282459259033
57,198.5574493408203,228.7274627685547,0.9942229986190796
58,202.60923767089844,230.1360626220703,0.9864968061447144
59,215.8866424560547,245.25270080566406,0.9964919686317444
60,237.0557861328125,255.9596710205078,0.9940599203109741
61,236.71217346191406,255.66932678222656,0.993804931640625
62,236.9012908935547,256.15447998046875,0.9937098622322083
63,236.0032958984375,255.61688232421875,0.9931365251541138
64,236.2361297607422,256.0384216308594,0.994345486164093
65,207.4058837890625,237.04122924804688,0.965212345123291
66,197.5960693359375,228.051513671875,0.9969323873519897
67,198.75942993164062,227.96023559570312,0.9960411787033081
68,203.57920837402344,231.4121856689453,0.9848198890686035
69,239.00755310058594,258.6873779296875,0.9970773458480835
70,236.6448211669922,255.6653289794922,0.9934565424919128
71,236.39964294433594,255.50169372558594,0.9931521415710449
72,236.54757690429688,255.63075256347656,0.9935107231140137
73,236.5178680419922,257.38690185546875,0.9967054128646851
74,232.48373413085938,256.5511169433594,0.9980894327163696
75,216.25094604492188,246.00376892089844,0.9942994713783264
76,208.3384552001953,237.7241668701172,0.9736835956573486
77,204.39620971679688,234.33863830566406,0.9758608341217041
78,203.324951171875,232.54139709472656,0.9842026233673096
79,203.55137634277344,232.808837890625,0.986407458782196
80,203.84384155273438,233.0718536376953,0.9852949380874634
81,203.84527587890625,233.26458740234375,0.9839702844619751
82,204.1923828125,233.4859619140625,0.9817612171173096
83,205.16952514648438,233.6276397705078,0.9765900373458862
84,208.68658447265625,236.3368682861328,0.9714410901069641
85,238.44482421875,256.9634094238281,0.9937421679496765
86,238.61529541015625,256.7379150390625,0.9932132959365845
87,238.62242126464844,256.53955078125,0.9937787055969238
88,238.58001708984375,256.7296447753906,0.9938804507255554
89,238.51028442382812,257.1584777832031,0.9941308498382568
90,237.27078247070312,256.0982360839844,0.9940029382705688
91,238.69834899902344,256.8161315917969,0.9943295121192932
92,239.1582794189453,257.1192626953125,0.9948502779006958
93,238.7479705810547,256.94842529296875,0.9947896003723145
94,239.07595825195312,257.0311279296875,0.9947035908699036
95,238.95809936523438,257.5905456542969,0.9946614503860474
96,239.01412963867188,257.49713134765625,0.9954031109809875
97,239.1365203857422,257.2236328125,0.9955455660820007
98,239.15994262695312,257.7203674316406,0.9950838685035706
