scorer,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000,DLC_resnet50_28jul-ind-mderechaJul18shuffle1_7000
bodyparts,indice,indice,indice
coords,x,y,likelihood
0,282.3661193847656,86.80252075195312,0.993815541267395
1,296.1692199707031,124.64170837402344,0.9932554960250854
2,295.9000244140625,124.96015167236328,0.9930974245071411
3,296.12579345703125,124.68383026123047,0.9937542676925659
4,296.1670837402344,124.60386657714844,0.99391770362854
5,296.22772216796875,124.67815399169922,0.9936560392379761
6,296.20947265625,124.58881378173828,0.9933342933654785
7,296.1723937988281,124.84675598144531,0.9936913847923279
8,296.1150817871094,124.97344970703125,0.9938632249832153
9,296.114013671875,124.95812225341797,0.9942895174026489
10,295.3844909667969,126.0655288696289,0.9960670471191406
11,294.5140380859375,126.60987091064453,0.9965023398399353
12,294.4786376953125,126.80632781982422,0.9965864419937134
13,295.4786682128906,125.74188232421875,0.9957009553909302
14,295.806396484375,123.52039337158203,0.9948050379753113
15,316.1609191894531,119.79300689697266,0.9959787130355835
16,347.6289978027344,118.7845458984375,0.9937867522239685
17,368.0977478027344,119.72752380371094,0.9954755306243896
18,388.4745788574219,121.15467071533203,0.9976940155029297
19,431.26776123046875,130.4224090576172,0.9959118366241455
20,479.66827392578125,141.6179962158203,0.9950679540634155
21,503.403076171875,150.0090789794922,0.9991143941879272
22,506.4639892578125,153.1715087890625,0.9959090948104858
23,509.17633056640625,154.579833984375,0.9938684701919556
24,508.7130432128906,154.15919494628906,0.9947456121444702
25,485.3768615722656,147.76036071777344,0.9990543723106384
26,443.6058654785156,138.25189208984375,0.989832878112793
27,416.9742126464844,134.74203491210938,0.9971565008163452
28,367.5066833496094,131.51617431640625,0.9959548711776733
29,345.86865234375,127.2334976196289,0.9848732948303223
30,305.434326171875,120.5181884765625,0.9942514300346375
31,293.21893310546875,118.90042877197266,0.9981217384338379
32,292.7471923828125,119.07550048828125,0.9980054497718811
33,292.10772705078125,119.09002685546875,0.9978264570236206
34,292.9324035644531,118.94740295410156,0.9981212615966797
35,298.912109375,118.85101318359375,0.9904414415359497
36,299.3565673828125,118.90836334228516,0.9895048141479492
37,300.0224304199219,119.95757293701172,0.9898325204849243
38,305.7130126953125,122.97869110107422,0.9889507293701172
39,311.5958557128906,122.46114349365234,0.9942395091056824
40,345.4635009765625,130.77149963378906,0.995240330696106
41,378.4143371582031,135.09942626953125,0.9940259456634521
42,419.3066711425781,139.2001953125,0.9954992532730103
43,437.7033996582031,141.67636108398438,0.9965204000473022
44,468.1998291015625,146.7850799560547,0.9989389181137085
45,492.5335388183594,152.92996215820312,0.9959214329719543
46,504.03802490234375,154.03628540039062,0.998184323310852
47,508.8275451660156,155.76580810546875,0.9907925128936768
48,509.39044189453125,155.65234375,0.9909984469413757
49,507.88116455078125,156.4031982421875,0.9919211864471436
50,472.76953125,163.27491760253906,0.9990473985671997
51,434.6456298828125,181.19891357421875,0.9986603260040283
52,411.94281005859375,192.90431213378906,0.9958502054214478
53,379.7908935546875,219.98641967773438,0.9885334968566895
54,369.4934997558594,232.79931640625,0.9958137273788452
55,349.5364990234375,266.36517333984375,0.9903863668441772
56,341.3758850097656,276.4895935058594,0.9988487362861633
57,340.9324645996094,279.707763671875,0.9980682134628296
58,341.28900146484375,282.4844055175781,0.9956837892532349
59,342.4722900390625,285.9130859375,0.9975221157073975
60,347.1231994628906,285.27197265625,0.9932496547698975
61,346.8436584472656,284.6918029785156,0.9912618398666382
62,347.572021484375,284.3231201171875,0.9900302290916443
63,347.0607604980469,284.0947265625,0.9913105964660645
64,347.0627136230469,278.389404296875,0.9967759847640991
65,379.21319580078125,238.93106079101562,0.9937026500701904
66,409.9549865722656,204.9766387939453,0.9952043294906616
67,426.092529296875,190.3885498046875,0.996112585067749
68,444.1525573730469,177.31011962890625,0.9959778189659119
